REGION,TECHNOLOGY,VALUE
REGION1,UKNGGCPH2,31.536
REGION1,UKNGGCPN2,31.536
REGION1,UKNGHPFH1,31.536
REGION1,UKNGHPPH2,31.536
REGION1,UKNGSTPH2,31.536
REGION1,UKNUG2PH3,31.536
REGION1,UKNUG3PN3,31.536
REGION1,UKOCWVPH1,31.536
REGION1,UKSODIFH1,31.536
REGION1,UKSOUTPH2,31.536
REGION1,UKWIOFPH3,31.536
REGION1,UKWIOFPN2,31.536
REGION1,UKWIOFPN3,31.536
REGION1,UKWIONPH3,31.536
REGION1,UKWIONPN3,31.536
REGION1,UKWSCHPH2,31.536
REGION1,UKWSSTPH1,31.536
